entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-12,2021-04-21,LONG,25.5139,24.8745,24.8745,391,9975.93,-250.0,-250.0,-1.0,stop_loss,-500.0,24500.0,9500.0
2021-04-05,2021-04-23,LONG,24.2746,26.0416,23.6663,411,9976.86,726.23,726.23,2.905,time_exit,226.23000000000002,25226.23,10226.23
2021-04-19,2021-04-27,SHORT,25.97,26.6193,26.6193,385,9998.43,-250.0,-250.0,-1.0,stop_loss,-23.769999999999982,24976.23,9976.23
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,-250.0,-1.0,stop_loss,-273.77,24726.23,9726.23
2021-05-10,2021-05-20,SHORT,22.9231,23.4965,23.4965,436,9994.47,-250.0,-250.0,-1.0,stop_loss,-523.77,24476.23,9476.23
2021-05-17,2021-05-20,SHORT,22.5291,23.0934,23.0934,443,9980.39,-250.0,-250.0,-1.0,stop_loss,-773.77,24226.23,9226.23
2021-05-03,2021-05-21,SHORT,25.287,23.0305,25.92,395,9988.38,891.31,891.31,3.565,time_exit,117.53999999999996,25117.54,10117.54
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-132.46000000000004,24867.54,9867.54
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.49,-250.0,-250.0,-1.0,stop_loss,-382.46000000000004,24617.54,9617.54
2021-06-07,2021-06-25,LONG,25.0483,28.0593,24.4217,399,9994.25,1201.41,1201.41,4.806,time_exit,818.95,25818.95,10818.95
2021-06-21,2021-07-12,LONG,26.8415,31.2256,26.1695,372,9985.04,1630.86,1630.86,6.523,time_exit,2449.81,27449.81,12449.81
2021-07-12,2021-07-13,SHORT,31.2256,32.0068,32.0068,320,9992.18,-250.0,-250.0,-1.0,stop_loss,2199.81,27199.81,12199.81
2021-06-28,2021-07-19,LONG,29.0526,29.2556,28.3259,344,9994.11,69.82,69.82,0.279,time_exit,2269.63,27269.63,12269.630000000001
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.99,-250.0,-250.0,-1.0,stop_loss,2019.63,27019.63,12019.630000000001
2021-08-02,2021-08-04,SHORT,31.6864,32.4801,32.4801,315,9981.22,-250.0,-250.0,-1.0,stop_loss,1769.63,26769.63,11769.630000000001
2021-07-19,2021-08-06,LONG,29.2556,32.5771,28.5225,341,9976.16,1132.62,1132.62,4.53,time_exit,2902.25,27902.25,12902.25
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2652.25,27652.25,12652.25
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2402.25,27402.25,12402.25
2021-08-30,2021-09-10,LONG,35.7958,34.8998,34.8998,279,9987.04,-250.0,-250.0,-1.0,stop_loss,2152.25,27152.25,12152.25
2021-08-23,2021-09-13,LONG,33.8713,34.676,33.0238,295,9992.02,237.39,237.39,0.95,time_exit,2389.64,27389.64,12389.64
2021-09-20,2021-09-22,SHORT,31.875,32.6738,32.6738,313,9976.89,-250.0,-250.0,-1.0,stop_loss,2139.64,27139.64,12139.64
